@relation 'EPA Eastern Lakes Survey - 1984-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-N2-F1'

@attribute aluminum numeric
@attribute calcium numeric
@attribute carbonate numeric
@attribute color numeric
@attribute elevation numeric
@attribute inlets {zero,one,few,many}
@attribute potassium numeric
@attribute area numeric
@attribute type {lake,pond,reservoir,swamp}
@attribute volume numeric
@attribute latitude numeric
@attribute longitude numeric
@attribute ammonium numeric
@attribute nitrate numeric
@attribute outlets {zero,few,one}
@attribute precipitation numeric
@attribute runoff {5,10,15,20,25,30}
@attribute sulfate numeric
@attribute ph {low,high}

@data
76,0.187,0,300,37.2,zero,0.008,8.299995,lake,0.035,30.657486,-82.169983,0.019,0.03,zero,1.194,10,0.505,low
60,0.633,0,200,36.9,zero,0.238,6.299999,lake,0.026,30.668045,-82.206909,0.302,0.041,few,1.192,10,0.296,low
99.6,0.386,0,100,82.6,zero,0.107,11.399994,pond,0.254,44.407196,-69.823608,0.011,0.009,one,0.883,15,2.89,low
287,1.17,0,10,264.3,zero,0.267,49.799988,lake,1.756,46.426361,-84.958313,0.03,0.317,zero,1.211,15,6.91,low
80,0.55,0,10,237.4,zero,0.432,4.899998,lake,0.02,46.571655,-85.738831,0.01,0.452,zero,1.214,15,3.9,low
282.2,1.207,0,5,572.4,one,0.296,13.099998,lake,0.146,41.288879,-75.159668,0.194,0.67,zero,0.825,20,8.158,low
67,0.4,0,15,203.3,zero,0.279,12.299995,lake,0.068,46.596924,-85.074951,0.1,0.251,zero,1.24,15,3.57,low
310,2.491,0,300,19.2,zero,0.523,30,lake,0.292,28.302765,-81.173584,0.063,1.04,zero,1.376,10,3.25,low
125.7,0.446,0,125,350.8,zero,0.17,11.599998,pond,0.129,42.669434,-71.912476,0.063,0.072,one,0.997,20,2.17,low
516.1,0.892,0,15,588.3,few,0.253,51.699982,lake,3.119,43.929138,-75.033325,0.019,0.99,one,0.906,30,5.561,low
167.7,1.199,0,5,594.4,zero,0.34,212.899902,lake,4.84,41.166656,-75.833313,0.039,0.346,zero,0.698,20,7.33,low
272.2,1.693,0,20,582.2,one,0.321,21.299988,pond,0.425,43.833313,-74.795776,0.055,0.195,one,0.907,30,7.035,low
125,1.3,0,25,492,zero,0.6,5.299999,lake,0.113,45.311096,-89.048584,0.024,0,zero,0.886,10,3,low
211.4,0.835,0,100,381,zero,0.398,7.099998,pond,0.02,42.745819,-71.937439,0.456,0.206,zero,1.005,20,4.649,low
116,0.505,0,20,47.2,one,0.102,91.699951,lake,4.17,29.891663,-82.009705,0.014,0.112,one,1.2,10,3.95,low
219.6,1.765,0,200,29.5656,few,0.415,53.599976,reservoir,0.746,41.829163,-71.220825,0.076,0.206,one,0.958,20,4.571,low
172.9,0.68,0,5,178.9176,one,0.232,49.099976,pond,1.025,41.862488,-71.795776,0.029,0.144,one,0.96,20,6.132,low
108,0.75,0,20,266.7,one,0.56,15.699997,lake,0.175,46.510529,-86.10498,0.039,0.001,one,1.17,15,3.67,low
39,0.78,0,15,486.2,zero,0.29,9.099998,lake,0.182,45.951386,-89.530518,0.03,0,zero,0.885,10,2.89,low
16,0.6,0,5,266.7,zero,0.326,6.399998,lake,0.291,46.519989,-86.058289,0.06,0.008,zero,1.177,15,2.9,low
20,0.663,0,10,21.6,zero,0.228,7.899998,lake,0.169,30.556931,-85.665222,0.027,0.102,zero,1.354,20,2.58,low
262,1.55,0,130,509.9,zero,0.25,5.899998,lake,0.082,46.286102,-90.045776,0.169,0.124,one,0.885,10,3.55,low
203.4,1.57,0,150,128.3,few,0.411,37.5,pond,0.157,43.070251,-71.401916,0.047,0.08,one,1.009,15,5.634,low
39.9,0.754,0,5,17.3736,one,0.653,22.199997,pond,0.783,41.758331,-70.852722,0.01,0.014,few,0.954,20,4.36,low
38,0.64,0,25,422.2,zero,0.25,5.5,lake,0.043,47.015808,-88.708313,0,0,zero,0.86,15,3.25,low
44,0.99,0,40,504.5,zero,0.57,21.799988,lake,0.243,45.799988,-89.324951,0.03,0,zero,0.885,10,3.89,low
134,1.499,0,10,545.6,one,0.23,5.899998,pond,0.192,44.112488,-74.763855,0.048,0.126,zero,0.915,25,5.987,low
115,0.87,0,30,679.1,one,0.3,7.799999,pond,0.043,41.397217,-76.391052,0.02,0.233,one,0.699,15,3.82,low
128,1.16,0,10,533.4,one,0.13,63.699982,lake,0.946,42.021637,-73.483276,0.05,0.55,one,0.801,20,5.99,low
29,1.08,0,15,278.9,zero,0.36,7,lake,0.029,46.506927,-86.243042,0.139,0.529,zero,1.151,15,3.81,low
354.4,0.925,0,30,612.7,zero,0.229,8,pond,0.093,43.844421,-71.992493,0.027,0.032,one,1.132,20,4.026,low
59.4,0.769,0,5,29,zero,0.207,4.799999,pond,0.374,44.058319,-69.393005,0.008,0.011,zero,0.865,20,3.957,low
52.5,1.236,0,5,388.4,zero,0.238,11.599998,pond,0.393,43.07666,-72.305542,0.032,0.041,one,1.036,20,5.918,low
195.15,1.763,0,40,29.5656,zero,0.7885,22.699997,pond,0.958,42.604156,-70.729431,0.0165,0.021,one,0.959,20,7.453,low
205,1.34,0,65,433.1,zero,0.55,3.9,lake,0.299,46.615265,-88.859985,0.07,0,zero,0.884,15,4.04,low
139.7,1.288,0,70,327.1,few,0.295,51.399994,pond,0.429,42.787476,-72.116638,0.028,0.03,one,1.018,25,4.102,low
145,3.014,0,30,35.4,one,0.487,13.599998,lake,0.095,27.434998,-81.512451,0.017,0.036,one,1.461,10,13,low
51,0.601,0,10,25.9,zero,0.479,92.199951,lake,2.738,29.036652,-81.89386,0.009,0,zero,1.206,5,5.68,low
399,1.71,0,210,344.4,zero,0.55,4.199997,lake,0.148,46.457764,-91.724121,0.18,0.231,one,0.856,10,2.73,low
23,0.73,0,35,506.6,zero,0.23,6.699997,lake,0.124,46.053314,-89.56665,0.01,0,zero,0.885,10,1.98,low
20,0.47,0,10,396.9,zero,0.3,6.299999,lake,0.304,46.987213,-88.800232,0,0,zero,0.862,15,2.29,low
30,0.89,0,15,34.4424,zero,0.6,9.099998,pond,0.072,41.911102,-70.704163,0.02,0,one,0.955,20,7.5,low
143,1.09,0,140,351.7,one,0.52,11.399994,lake,0.159,46.343048,-91.616638,0.094,0.444,zero,0.866,10,1.65,low
18,0.82,0,10,261.8,zero,0.573,12.199997,lake,0.917,46.440552,-85.69635,0.04,0.191,zero,1.196,15,3.16,low
64.5,0.9,0,60,356.6,zero,0.41,10,lake,0.074,46.356934,-91.579163,0.034,0.0605,zero,0.867,10,2.38,low
114,1.049,0,5,508.1,one,0.223,11.399994,lake,0.048,41.027771,-75.612488,0.018,0.04,one,0.702,20,4.492,low
44,0.79,0.003,80,501.1,zero,0.69,5.199997,lake,0.097,46.095825,-89.583313,0.01,0.128,zero,0.885,10,0.61,low
25,0.77,0,20,489.2,zero,0.4,18.199997,lake,0.296,45.79361,-89.493042,0.06,0.038,zero,0.885,10,2.57,low
11,0.77,0.001,10,364.9,zero,0.26,4.5,lake,0.407,46.834717,-88.8797,0.03,0,zero,0.875,15,2.96,low
31,1.56,0,40,376.7,zero,0.837,4.5,lake,0.217,44.992218,-84.497742,0.03,0,zero,0.686,10,3.86,low
200.2,1.655,0.002,250,448.1,one,0.459,4,pond,0.017,41.252777,-75.194397,0.412,0.121,one,0.803,20,3.005,low
34,0.87,0,15,504.5,zero,0.33,15.899994,lake,0.317,46.02359,-89.274963,0.01,0.013,zero,0.885,10,3.11,low
308,1.964,0,125,8.5344,zero,1.661,13.5,pond,0.288,41.27359,-70.016663,0.02,0.026,few,0.92,20,7.798,low
28,1.92,0.001,10,619.1,one,0.12,22.599991,lake,0.189,41.430542,-76.270813,0.05,0.061,one,0.698,15,5.02,low
155.1,2.345,0.001,60,522.7,many,0.215,89.699951,lake,1.54,41.166656,-75.529114,0.058,0.107,one,0.705,20,5.867,low
35,0.92,0.001,20,413,zero,0.71,18,lake,1.704,46.572754,-88.781921,0.01,0.043,zero,0.886,15,3.54,low
83.7,0.811,0.001,70,271.3,zero,0.635,6.399998,pond,0.045,42.497772,-72.419128,0.024,0,one,1.018,20,2.824,low
359.6,1.384,0.001,105,21,one,0.229,25.099991,pond,0.28,44.779144,-67.308289,0.027,0.003,one,1.8,25,2.64,low
29,1.515,0,22.5,484.9,zero,0.76,96.5,lake,2.06,45.470825,-88.920776,0,0,zero,0.885,10,6.415,low
39,2.04,0,15,520.9,zero,0.74,28.799988,lake,0.521,45.58194,-89,0,0.025,zero,0.885,10,8.15,low
72.5,1.086,0,15,606.6,one,0.491,15,swamp,0.111,41.215271,-75.670776,0.051,0.012,one,0.699,20,5.585,low
22,0.81,0,20,489.2,zero,0.38,33.199982,lake,0.893,45.955536,-89.791626,0.1,0.229,zero,0.885,10,2.39,low
123.2,2.38,0.001,5,619.4,one,0.783,5,lake,0.128,41.436096,-75.512451,0.018,0.005,zero,0.71,20,9.431,low
101.8,0.882,0.002,25,292.3,one,0.656,11.699997,reservoir,0.38,42.934692,-72.216614,0.051,0.017,one,1.025,20,4.932,low
53.3,0.668,0,10,74.1,zero,0.255,23.699997,pond,1.825,44.533875,-68.170227,0.01,0.049,one,1.299,25,3.066,low
64.5,2.219,0.001,5,406.3,few,0.438,22,lake,0.439,41.112488,-75.769409,0.017,0.015,one,0.699,20,4.891,low
56.2,1.634,0.001,5,237.7,zero,0.25,7,pond,0.159,44.415253,-70.262451,0.014,0.062,one,0.959,20,5.817,low
17,1.27,0.001,15,477,zero,0.72,24.5,lake,1.069,45.591644,-89.416626,0.02,0.061,zero,0.885,10,4.84,low
