@relation 'EPA Eastern Lakes Survey - 1984 - discretized-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-N2-F1'

@attribute aluminum {(-inf-11.4],(11.4-17.2],(17.2-23.95],(23.95-30.55],(30.55-38.95],(38.95-47.2],(47.2-61.1],(61.1-83.95],(83.95-113.6],(113.6-166.8],(166.8-inf)}
@attribute calcium {(-inf-0.9225],(0.9225-1.245],(1.245-1.588],(1.588-1.9185],(1.9185-2.2605],(2.2605-2.8045],(2.8045-3.6165],(3.6165-4.7805],(4.7805-6.7075],(6.7075-11.93],(11.93-inf)}
@attribute carbonate {(-inf-0.0005],(0.0005-0.0055],(0.0055-0.0155],(0.0155-0.0345],(0.0345-0.0645],(0.0645-0.1045],(0.1045-0.183],(0.183-0.347],(0.347-0.79],(0.79-3.0525],(3.0525-inf)}
@attribute color {(-inf-9],(9-10.5],(10.5-15.5],(15.5-20.5],(20.5-25.25],(25.25-31],(31-39.5],(39.5-45.75],(45.75-64.5],(64.5-99.5],(99.5-inf)}
@attribute elevation {(-inf-37.35],(37.35-118.45],(118.45-216.7],(216.7-284.25],(284.25-333.278],(333.278-373.7],(373.7-417.15],(417.15-467.75],(467.75-499.75],(499.75-538.45],(538.45-inf)}
@attribute inlets {zero,one,few,many}
@attribute potassium {(-inf-0.23375],(0.23375-0.3005],(0.3005-0.352],(0.352-0.4055],(0.4055-0.464],(0.464-0.537],(0.537-0.6305],(0.6305-0.736],(0.736-0.9245],(0.9245-1.395],(1.395-inf)}
@attribute area {(-inf-5.649997],(5.649997-7.349998],(7.349998-9.349994],(9.349994-11.649997],(11.649997-14.649997],(14.649997-19.499992],(19.499992-27.149994],(27.149994-40.699982],(40.699982-77.649963],(77.649963-159.999939],(159.999939-inf)}
@attribute type {lake,pond,reservoir,swamp}
@attribute volume {(-inf-0.0585],(0.0585-0.0985],(0.0985-0.1475],(0.1475-0.206],(0.206-0.2965],(0.2965-0.4375],(0.4375-0.762],(0.762-1.138],(1.138-2.313],(2.313-6.572],(6.572-inf)}
@attribute latitude {(-inf-36.921371],(36.921371-41.646378],(41.646378-42.530548],(42.530548-43.793045],(43.793045-44.623596],(44.623596-45.331924],(45.331924-45.828033],(45.828033-46.198318],(46.198318-46.492615],(46.492615-47.594848],(47.594848-inf)}
@attribute longitude {(-inf--91.773162],(-91.773162--90.859406],(-90.859406--89.315124],(-89.315124--86.188843],(-86.188843--82.676361],(-82.676361--75.410675],(-75.410675--73.224945],(-73.224945--71.53537],(-71.53537--70.56662],(-70.56662--69.28537],(-69.28537-inf)}
@attribute ammonium {(-inf-0.0005],(0.0005-0.01025],(0.01025-0.0175],(0.0175-0.02075],(0.02075-0.02575],(0.02575-0.03025],(0.03025-0.0395],(0.0395-0.0505],(0.0505-0.086],(0.086-0.1355],(0.1355-inf)}
@attribute nitrate {(-inf-0.0005],(0.0005-0.0075],(0.0075-0.01525],(0.01525-0.02575],(0.02575-0.0395],(0.0395-0.0585],(0.0585-0.0805],(0.0805-0.1165],(0.1165-0.201],(0.201-0.422],(0.422-inf)}
@attribute outlets {zero,few,one}
@attribute precipitation {(-inf-0.7755],(0.7755-0.808],(0.808-0.8665],(0.8665-0.8845],(0.8845-0.8855],(0.8855-0.9455],(0.9455-0.9615],(0.9615-1.0045],(1.0045-1.094],(1.094-1.217],(1.217-inf)}
@attribute runoff {5,10,15,20,25,30}
@attribute sulfate {(-inf-1.565],(1.565-2.255],(2.255-2.655],(2.655-3.075],(3.075-3.535],(3.535-3.9655],(3.9655-4.465],(4.465-5.265],(5.265-6.1535],(6.1535-7.833],(7.833-inf)}
@attribute ph {low,high}

@data
(61.1-83.95],(-inf-0.9225],(-inf-0.0005],(99.5-inf),(-inf-37.35],zero,(-inf-0.23375],(7.349998-9.349994],lake,(-inf-0.0585],(-inf-36.921371],(-82.676361--75.410675],(0.0175-0.02075],(0.02575-0.0395],zero,(1.094-1.217],10,(-inf-1.565],low
(47.2-61.1],(-inf-0.9225],(-inf-0.0005],(99.5-inf),(-inf-37.35],zero,(0.23375-0.3005],(5.649997-7.349998],lake,(-inf-0.0585],(-inf-36.921371],(-82.676361--75.410675],(0.1355-inf),(0.0395-0.0585],few,(1.094-1.217],10,(-inf-1.565],low
(83.95-113.6],(-inf-0.9225],(-inf-0.0005],(99.5-inf),(37.35-118.45],zero,(-inf-0.23375],(9.349994-11.649997],pond,(0.206-0.2965],(43.793045-44.623596],(-70.56662--69.28537],(0.01025-0.0175],(0.0075-0.01525],one,(0.8665-0.8845],15,(2.655-3.075],low
(166.8-inf),(0.9225-1.245],(-inf-0.0005],(9-10.5],(216.7-284.25],zero,(0.23375-0.3005],(40.699982-77.649963],lake,(1.138-2.313],(46.198318-46.492615],(-86.188843--82.676361],(0.02575-0.03025],(0.201-0.422],zero,(1.094-1.217],15,(6.1535-7.833],low
(61.1-83.95],(-inf-0.9225],(-inf-0.0005],(9-10.5],(216.7-284.25],zero,(0.4055-0.464],(-inf-5.649997],lake,(-inf-0.0585],(46.492615-47.594848],(-86.188843--82.676361],(0.0005-0.01025],(0.422-inf),zero,(1.094-1.217],15,(3.535-3.9655],low
(166.8-inf),(0.9225-1.245],(-inf-0.0005],(-inf-9],(538.45-inf),one,(0.23375-0.3005],(11.649997-14.649997],lake,(0.0985-0.1475],(36.921371-41.646378],(-75.410675--73.224945],(0.1355-inf),(0.422-inf),zero,(0.808-0.8665],20,(7.833-inf),low
(61.1-83.95],(-inf-0.9225],(-inf-0.0005],(10.5-15.5],(118.45-216.7],zero,(0.23375-0.3005],(11.649997-14.649997],lake,(0.0585-0.0985],(46.492615-47.594848],(-86.188843--82.676361],(0.086-0.1355],(0.201-0.422],zero,(1.217-inf),15,(3.535-3.9655],low
(166.8-inf),(2.2605-2.8045],(-inf-0.0005],(99.5-inf),(-inf-37.35],zero,(0.464-0.537],(27.149994-40.699982],lake,(0.206-0.2965],(-inf-36.921371],(-82.676361--75.410675],(0.0505-0.086],(0.422-inf),zero,(1.217-inf),10,(3.075-3.535],low
(113.6-166.8],(-inf-0.9225],(-inf-0.0005],(99.5-inf),(333.278-373.7],zero,(-inf-0.23375],(9.349994-11.649997],pond,(0.0985-0.1475],(42.530548-43.793045],(-73.224945--71.53537],(0.0505-0.086],(0.0585-0.0805],one,(0.9615-1.0045],20,(1.565-2.255],low
(166.8-inf),(-inf-0.9225],(-inf-0.0005],(10.5-15.5],(538.45-inf),few,(0.23375-0.3005],(40.699982-77.649963],lake,(2.313-6.572],(43.793045-44.623596],(-75.410675--73.224945],(0.0175-0.02075],(0.422-inf),one,(0.8855-0.9455],30,(5.265-6.1535],low
(166.8-inf),(0.9225-1.245],(-inf-0.0005],(-inf-9],(538.45-inf),zero,(0.3005-0.352],(159.999939-inf),lake,(2.313-6.572],(36.921371-41.646378],(-82.676361--75.410675],(0.03025-0.0395],(0.201-0.422],zero,(-inf-0.7755],20,(6.1535-7.833],low
(166.8-inf),(1.588-1.9185],(-inf-0.0005],(15.5-20.5],(538.45-inf),one,(0.3005-0.352],(19.499992-27.149994],pond,(0.2965-0.4375],(43.793045-44.623596],(-75.410675--73.224945],(0.0505-0.086],(0.1165-0.201],one,(0.8855-0.9455],30,(6.1535-7.833],low
